Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,BTC-USD,^GSPC,BTC-USD,^GSPC,BTC-USD,^GSPC,BTC-USD,^GSPC,BTC-USD,^GSPC
Date,,,,,,,,,,
2014-01-02,,1831.97998046875,,1845.8599853515625,,1827.739990234375,,1845.8599853515625,,3080600000.0
2014-01-03,,1831.3699951171875,,1838.239990234375,,1829.1300048828125,,1833.2099609375,,2774270000.0
2014-01-06,,1826.77001953125,,1837.1600341796875,,1823.72998046875,,1832.31005859375,,3294850000.0
2014-01-07,,1837.8800048828125,,1840.0999755859375,,1828.7099609375,,1828.7099609375,,3511750000.0
2014-01-08,,1837.489990234375,,1840.02001953125,,1831.4000244140625,,1837.9000244140625,,3652140000.0
2014-01-09,,1838.1300048828125,,1843.22998046875,,1830.3800048828125,,1839.0,,3581150000.0
2014-01-10,,1842.3699951171875,,1843.1500244140625,,1832.4300537109375,,1840.06005859375,,3335710000.0
2014-01-13,,1819.199951171875,,1843.449951171875,,1815.52001953125,,1841.260009765625,,3591350000.0
2014-01-14,,1838.8800048828125,,1839.260009765625,,1821.3599853515625,,1821.3599853515625,,3353270000.0
2014-01-15,,1848.3800048828125,,1850.8399658203125,,1840.52001953125,,1840.52001953125,,3777800000.0
2014-01-16,,1845.8900146484375,,1847.989990234375,,1840.300048828125,,1847.989990234375,,3491310000.0
2014-01-17,,1838.699951171875,,1846.0400390625,,1835.22998046875,,1844.22998046875,,3626120000.0
2014-01-21,,1843.800048828125,,1849.31005859375,,1832.3800048828125,,1841.050048828125,,3782470000.0
2014-01-22,,1844.8599853515625,,1846.8699951171875,,1840.8800048828125,,1844.7099609375,,3374170000.0
2014-01-23,,1828.4599609375,,1842.2900390625,,1820.06005859375,,1842.2900390625,,3972250000.0
2014-01-24,,1790.2900390625,,1826.9599609375,,1790.2900390625,,1826.9599609375,,4618450000.0
2014-01-27,,1781.56005859375,,1795.97998046875,,1772.8800048828125,,1791.030029296875,,4045200000.0
2014-01-28,,1792.5,,1793.8699951171875,,1779.489990234375,,1783.0,,3437830000.0
2014-01-29,,1774.199951171875,,1790.1500244140625,,1770.449951171875,,1790.1500244140625,,3964020000.0
2014-01-30,,1794.18994140625,,1798.77001953125,,1777.1700439453125,,1777.1700439453125,,3547510000.0
2014-01-31,,1782.5899658203125,,1793.8800048828125,,1772.260009765625,,1790.8800048828125,,4059690000.0
2014-02-03,,1741.8900146484375,,1784.8299560546875,,1739.6600341796875,,1782.6800537109375,,4726040000.0
2014-02-04,,1755.199951171875,,1758.72998046875,,1743.8199462890625,,1743.8199462890625,,4068410000.0
2014-02-05,,1751.6400146484375,,1755.7900390625,,1737.9200439453125,,1753.3800048828125,,3984290000.0
2014-02-06,,1773.4300537109375,,1774.06005859375,,1752.989990234375,,1752.989990234375,,3825410000.0
2014-02-07,,1797.02001953125,,1798.030029296875,,1776.010009765625,,1776.010009765625,,3775990000.0
2014-02-10,,1799.8399658203125,,1799.93994140625,,1791.8299560546875,,1796.199951171875,,3312160000.0
2014-02-11,,1819.75,,1823.5400390625,,1800.4100341796875,,1800.449951171875,,3699380000.0
2014-02-12,,1819.260009765625,,1826.550048828125,,1815.969970703125,,1820.1199951171875,,3326380000.0
2014-02-13,,1829.8299560546875,,1830.25,,1809.219970703125,,1814.8199462890625,,3289510000.0
2014-02-14,,1838.6300048828125,,1841.6500244140625,,1825.5899658203125,,1828.4599609375,,3114750000.0
2014-02-18,,1840.760009765625,,1842.8699951171875,,1835.010009765625,,1839.030029296875,,3421110000.0
2014-02-19,,1828.75,,1847.5,,1826.989990234375,,1838.9000244140625,,3661570000.0
2014-02-20,,1839.780029296875,,1842.7900390625,,1824.5799560546875,,1829.239990234375,,3404980000.0
2014-02-21,,1836.25,,1846.1300048828125,,1835.5999755859375,,1841.0699462890625,,3403880000.0
2014-02-24,,1847.6099853515625,,1858.7099609375,,1836.780029296875,,1836.780029296875,,4014530000.0
2014-02-25,,1845.1199951171875,,1852.9100341796875,,1840.18994140625,,1847.6600341796875,,3515560000.0
2014-02-26,,1845.1600341796875,,1852.6500244140625,,1840.6600341796875,,1845.7900390625,,3716730000.0
2014-02-27,,1854.2900390625,,1854.530029296875,,1841.1300048828125,,1844.9000244140625,,3547460000.0
2014-02-28,,1859.449951171875,,1867.9200439453125,,1847.6700439453125,,1855.1199951171875,,3917450000.0
2014-03-03,,1845.72998046875,,1857.6800537109375,,1834.43994140625,,1857.6800537109375,,3428220000.0
2014-03-04,,1873.9100341796875,,1876.22998046875,,1849.22998046875,,1849.22998046875,,3765770000.0
2014-03-05,,1873.81005859375,,1876.530029296875,,1871.1099853515625,,1874.050048828125,,3392990000.0
2014-03-06,,1877.030029296875,,1881.93994140625,,1874.1800537109375,,1874.1800537109375,,3360450000.0
2014-03-07,,1878.0400390625,,1883.5699462890625,,1870.56005859375,,1878.52001953125,,3564740000.0
2014-03-10,,1877.1700439453125,,1877.8699951171875,,1867.0400390625,,1877.8599853515625,,3021350000.0
2014-03-11,,1867.6300048828125,,1882.3499755859375,,1863.8800048828125,,1878.260009765625,,3392400000.0
2014-03-12,,1868.199951171875,,1868.3800048828125,,1854.3800048828125,,1866.1500244140625,,3270860000.0
2014-03-13,,1846.3399658203125,,1874.4000244140625,,1841.8599853515625,,1869.06005859375,,3670990000.0
2014-03-14,,1841.1300048828125,,1852.43994140625,,1839.5699462890625,,1845.0699462890625,,3285460000.0
2014-03-17,,1858.8299560546875,,1862.300048828125,,1842.81005859375,,1842.81005859375,,2860490000.0
2014-03-18,,1872.25,,1873.760009765625,,1858.9200439453125,,1858.9200439453125,,2930190000.0
2014-03-19,,1860.77001953125,,1874.1400146484375,,1850.3499755859375,,1872.25,,3289210000.0
2014-03-20,,1872.010009765625,,1873.489990234375,,1854.6300048828125,,1860.0899658203125,,3327540000.0
2014-03-21,,1866.52001953125,,1883.969970703125,,1863.4599609375,,1874.530029296875,,5270710000.0
2014-03-24,,1857.43994140625,,1873.3399658203125,,1849.68994140625,,1867.6700439453125,,3409000000.0
2014-03-25,,1865.6199951171875,,1871.8699951171875,,1855.9599609375,,1859.47998046875,,3200560000.0
2014-03-26,,1852.56005859375,,1875.9200439453125,,1852.56005859375,,1867.0899658203125,,3480850000.0
2014-03-27,,1849.0400390625,,1855.550048828125,,1842.1099853515625,,1852.1099853515625,,3733430000.0
2014-03-28,,1857.6199951171875,,1866.6300048828125,,1850.0699462890625,,1850.0699462890625,,2955520000.0
2014-03-31,,1872.3399658203125,,1875.1800537109375,,1859.1600341796875,,1859.1600341796875,,3274300000.0
2014-04-01,,1885.52001953125,,1885.8399658203125,,1873.9599609375,,1873.9599609375,,3336190000.0
2014-04-02,,1890.9000244140625,,1893.1700439453125,,1883.7900390625,,1886.6099853515625,,3131660000.0
2014-04-03,,1888.77001953125,,1893.800048828125,,1882.6500244140625,,1891.4300537109375,,3055600000.0
2014-04-04,,1865.0899658203125,,1897.280029296875,,1863.260009765625,,1890.25,,3583750000.0
2014-04-07,,1845.0400390625,,1864.0400390625,,1841.47998046875,,1863.9200439453125,,3801540000.0
2014-04-08,,1851.9599609375,,1854.949951171875,,1837.489990234375,,1845.47998046875,,3721450000.0
2014-04-09,,1872.1800537109375,,1872.4300537109375,,1852.3800048828125,,1852.6400146484375,,3308650000.0
2014-04-10,,1833.0799560546875,,1872.530029296875,,1830.8699951171875,,1872.280029296875,,3758780000.0
2014-04-11,,1815.68994140625,,1835.0699462890625,,1814.3599853515625,,1830.6500244140625,,3743460000.0
2014-04-14,,1830.6099853515625,,1834.18994140625,,1815.800048828125,,1818.1800537109375,,3111540000.0
2014-04-15,,1842.97998046875,,1844.02001953125,,1816.2900390625,,1831.449951171875,,3736440000.0
2014-04-16,,1862.31005859375,,1862.31005859375,,1846.010009765625,,1846.010009765625,,3155080000.0
2014-04-17,,1864.8499755859375,,1869.6300048828125,,1856.719970703125,,1861.72998046875,,3341430000.0
2014-04-21,,1871.8900146484375,,1871.8900146484375,,1863.1800537109375,,1865.7900390625,,2642500000.0
2014-04-22,,1879.550048828125,,1884.8900146484375,,1872.5699462890625,,1872.5699462890625,,3215440000.0
2014-04-23,,1875.3900146484375,,1879.75,,1873.9100341796875,,1879.3199462890625,,3085720000.0
2014-04-24,,1878.6099853515625,,1884.06005859375,,1870.239990234375,,1881.969970703125,,3191830000.0
2014-04-25,,1863.4000244140625,,1877.719970703125,,1859.699951171875,,1877.719970703125,,3213020000.0
2014-04-28,,1869.4300537109375,,1877.010009765625,,1850.6099853515625,,1865.0,,4034680000.0
2014-04-29,,1878.3299560546875,,1880.5999755859375,,1870.780029296875,,1870.780029296875,,3647820000.0
2014-04-30,,1883.949951171875,,1885.199951171875,,1872.68994140625,,1877.0999755859375,,3779230000.0
2014-05-01,,1883.6800537109375,,1888.5899658203125,,1878.0400390625,,1884.3900146484375,,3416740000.0
2014-05-02,,1881.1400146484375,,1891.3299560546875,,1878.5,,1885.300048828125,,3159560000.0
2014-05-05,,1884.6600341796875,,1885.510009765625,,1866.77001953125,,1879.449951171875,,2733730000.0
2014-05-06,,1867.719970703125,,1883.68994140625,,1867.719970703125,,1883.68994140625,,3327260000.0
2014-05-07,,1878.2099609375,,1878.8299560546875,,1859.7900390625,,1868.530029296875,,3632950000.0
2014-05-08,,1875.6300048828125,,1889.0699462890625,,1870.050048828125,,1877.3900146484375,,3393420000.0
2014-05-09,,1878.47998046875,,1878.5699462890625,,1867.02001953125,,1875.27001953125,,3025020000.0
2014-05-12,,1896.6500244140625,,1897.1300048828125,,1880.030029296875,,1880.030029296875,,3005740000.0
2014-05-13,,1897.449951171875,,1902.1700439453125,,1896.06005859375,,1896.75,,2915680000.0
2014-05-14,,1888.530029296875,,1897.1300048828125,,1885.77001953125,,1897.1300048828125,,2822060000.0
2014-05-15,,1870.8499755859375,,1888.1600341796875,,1862.3599853515625,,1888.1600341796875,,3552640000.0
2014-05-16,,1877.8599853515625,,1878.280029296875,,1864.8199462890625,,1871.18994140625,,3173650000.0
2014-05-19,,1885.0799560546875,,1886.0,,1872.4200439453125,,1876.6600341796875,,2664250000.0
2014-05-20,,1872.8299560546875,,1884.8800048828125,,1868.1400146484375,,1884.8800048828125,,3007700000.0
2014-05-21,,1888.030029296875,,1888.800048828125,,1873.3399658203125,,1873.3399658203125,,2777140000.0
2014-05-22,,1892.489990234375,,1896.3299560546875,,1885.3900146484375,,1888.18994140625,,2759800000.0
